ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1114,120,768766,09/08/11,BACARDI OAKHEART 70CL,2023-06-01,2023-06-14,40,22.23,15.79
1115,437,768766,09/08/11,BACARDI OAKHEART 70CL,2023-06-15,2023-06-21,40,22.23,18.56
1116,193,767077,02/05/13,BACARDI PINEAPPLE 70CL,2023-06-22,2023-07-05,40,25.43,18.44
1113,73,767077,02/05/13,BACARDI PINEAPPLE 70CL,2023-05-18,2023-06-01,40,25.43,23.53
1112,295,767077,02/05/13,BACARDI PINEAPPLE 70CL,2023-05-11,2023-05-17,40,25.43,19.83
1112,220,761109,02/06/05,BACARDI RAZZ 70CL,2023-05-11,2023-05-17,40,22.55,18.43
1115,264,761109,02/06/05,BACARDI RAZZ 70CL,2023-06-15,2023-06-21,40,22.55,17.61
1116,191,761109,02/06/05,BACARDI RAZZ 70CL,2023-06-22,2023-07-05,40,22.55,21.41
1113,76,761109,02/06/05,BACARDI RAZZ 70CL,2023-05-18,2023-06-01,40,22.55,18.43
1114,19,660272,18/06/91,BAILEY'S IRISH CREAM 35C,2023-06-01,2023-06-14,40,13.61,13.3
1113,78,660205,18/06/89,BAILEY'S IRISH CREAM70,2023-05-18,2023-06-01,40,26.33,26.17
