ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1115,55,701521,19/08/15,CARDHU GOLD RESERVE 70CL,2023-06-15,2023-06-21,40,46.45,44.19
1113,124,353019,03/03/98,CASAL MENDES ROSE,2023-05-18,2023-06-01,40,9.76,7.99
1115,140,353019,03/03/98,CASAL MENDES ROSE,2023-06-15,2023-06-21,40,6.73,6.31
1113,127,382027,28/08/98,CATENA ALTA CHARD. '16,2023-05-21,2023-05-24,40,34.39,32.72
1115,67,381845,19/05/14,CATENA CHAR.TUPUNGATO,2023-06-15,2023-06-21,40,24.79,20.98
1113,128,387800,22/12/97,CATENA MALBEC,2023-05-28,2023-06-01,40,28.92,24.95
1115,66,379956,03/11/15,CATENA MALBEC LUNLUN'17,2023-06-15,2023-06-21,40,15.05,11.38
1115,299,115002,05/04/07,CAVA SUMARROCA BRUT '16,2023-06-15,2023-06-21,40,12.65,9.58
1115,340,309958,01/03/07,CAVA SUMARROCA ROSADO ,2023-06-15,2023-06-21,40,15.71,12.15
1115,339,115711,31/07/15,CHANCENY VOUVR EXCELL'16,2023-06-15,2023-06-21,40,26.38,25.51
1113,140,196762,20/05/15,CHAT.ARROG.FROG.BLANC'18,2023-05-18,2023-06-01,40,17.65,17.19
1113,142,196754,15/05/15,CHAT.ARROG.FROG.ROUGE'17,2023-05-18,2023-06-01,40,19.19,14.28
1113,143,136166,17/08/11,CHATEAU DAVID,2023-05-18,2023-06-01,40,11.95,9.66
1112,38,409227,04/02/15,CHATEAU LES VALENT'18,2023-05-11,2023-05-17,40,19.13,14.5
1113,144,409227,04/02/15,CHATEAU LES VALENT'18,2023-05-18,2023-06-01,40,19.13,17.22
1115,148,409227,04/02/15,CHATEAU LES VALENT'18,2023-06-15,2023-06-21,40,19.13,13.62
1111,184,389366,07/07/03,CHILENSIS CHARDONNAY '18,2023-05-07,2023-05-10,40,6.83,6.78
1114,34,691283,29/01/92,CHIVAS REGAL 12YO 35CL,2023-06-01,2023-06-14,40,32.47,27.46
1112,127,691011,25/05/90,CHIVAS REGAL 12YRS  70CL,2023-05-11,2023-05-17,40,43.09,38.8
1115,43,691011,25/05/90,CHIVAS REGAL 12YRS  70CL,2023-06-15,2023-06-21,40,43.09,35.23
1114,282,691011,25/05/90,CHIVAS REGAL 12YRS  70CL,2023-06-01,2023-06-14,40,43.09,34.89
1114,283,691046,29/07/99,CHIVAS REGAL 18YRS  70CL,2023-06-01,2023-06-14,40,107.54,98.4
1112,128,691046,29/07/99,CHIVAS REGAL 18YRS  70CL,2023-05-11,2023-05-17,40,107.54,90.95
1115,278,691046,29/07/99,CHIVAS REGAL 18YRS  70CL,2023-06-15,2023-06-21,40,107.54,103.4
1113,146,308331,08/04/16,CHIVITE COL.125 BLAN.'16,2023-05-18,2023-06-01,40,60.35,44.9
1113,147,308439,08/04/16,CHIVITE COL.125 RESER'12,2023-05-18,2023-06-01,40,29.31,27.57
1115,135,308455,06/04/16,CHIVITE COL.125 ROSAD'17,2023-06-15,2023-06-21,40,52.51,38.1
1113,148,308455,06/04/16,CHIVITE COL.125 ROSAD'17,2023-05-18,2023-06-01,40,52.51,38.08
